"Function Name",Count
wp_check_post_lock,34
zeroise,34
update_user_option,34
wp_insert_user,34
current_filter,34
get_comment_meta,34
get_comment_date,34
get_stylesheet_directory_uri,34
is_category,34
mysql_real_escape_string,34
mysql_affected_rows,34
invoke,34
wc_get_endpoint_url,34
wc_format_datetime,34
woocommerce_wp_text_input,34
deleteDir,34
err,34
filament,34
setPermissionsTeamId,34
wp_load_translations_early,33
add_screen_option,33
is_protected_meta,33
get_plugin_data,33
get_comment_author,33
delete_comment_meta,33
delete_metadata,33
wp_hash,33
back,33
limitStringLength,33
yourls_has_action,33
mssql_num_rows,33
get_woocommerce_currency,33
wp_is_block_theme,33
once,33
dvwaPageStartup,33
viewPermsColor,33
getChmod,33
cacheDir,33
phabricator_date,33
getJson,33
get_current_site,32
get_default_comment_status,32
wp_roles,32
reset_mbstring_encoding,32
WP_Filesystem,32
path_join,32
register_setting,32
user_can,32
register_taxonomy,32
get_the_content,32
mysql_fetch_field,32
yourls_has_filter,32
oci_error,32
wc_prices_include_tax,32
wc_get_template_html,32
style,32
view_perms,32
getfun,32
xcleanpath,32
green,32
hex,32
logsDir,32
celerity_get_resource_uri,32
validate_file,31
wp_delete_term,31
do_shortcode,31
dispatch,31
yourls_update_option,31
wc_sanitize_taxonomy_name,31
wc_admin_url,31
wc_rest_check_post_permissions,31
wc_get_dimension,31
block_has_support,31
stripslashes_array,31
image_path,31
send_internal_notification,31
throw_unless,30
get_theme_root,30
_draft_or_post_title,30
get_available_languages,30
human_time_diff,30
wp_reset_postdata,30
request_filesystem_credentials,30
post_type_exists,30
delete_site_transient,30
split,30
str_slug,30
yourls_sanitize_url,30
wc_create_order,30
wc_print_notice,30
dump,30
wp_get_list_item_separator,30
twentyseventeen_get_svg,30
dvwaPageNewGrab,30
dvwaSecurityLevelGet,30
ini_bool,30
mssql_fetch_row,30
__dn,30
abort_unless,29
get_categories,29
wp_set_comment_status,29
wp_dropdown_categories,29
is_plugin_active_for_network,29
is_paged,29
is_feed,29
register_post_type,29
mysql_errno,29
have_comments,29
_wp_scripts_maybe_doing_it_wrong,29
locate_template,29
bcrypt,29
do_action_deprecated,29
cookie,29
join_paths,29
restart_session,29
json_row,29
g,29
rmdirs,29
buildphrase,29
ucFirst,29
isort,29
coalesce,29
object_get,28
wp_get_sidebars_widgets,28
add_settings_error,28
wp_delete_attachment,28
is_user_member_of_blog,28
wp_insert_attachment,28
wp_set_object_terms,28
is_object_in_taxonomy,28
display_header_text,28
is_tag,28
printit,28
mssql_num_fields,28
wc_create_attribute,28
restore_previous_locale,28
debugbar,28
_wp_array_set,28
jsval,28
white,28
factory,28
dujiaoka_config_get,28
pathCombine,28
relative_modified_date,28
data_get_str,28
info,27
wp_enqueue_media,27
get_nav_menu_locations,27
wp_safe_remote_get,27
mbstring_binary_safe_encoding,27
wp_generate_attachment_metadata,27
sanitize_term_field,27
get_comment_time,27
get_site_icon_url,27
is_archive,27
mysql_set_charset,27
yourls_admin_url,27
oci_num_fields,27
wc_placeholder_img_src,27
wc_get_price_decimal_separator,27
wc_attribute_label,27
wc_is_webhook_valid_topic,27
wc_admin_record_tracks_event,27
int32,27
querY,27
notice,27
File_Read,27
myparam,27
getPerms,27
join_path,27
generateFqdn,27
queue_application_deployment,27
wp_html_excerpt,26
do_meta_boxes,26
get_template,26
get_blog_details,26
setup_postdata,26
__get_option,26
walk_nav_menu_tree,26
_prime_post_caches,26
load_textdomain,26
wp_get_mime_types,26
get_post_statuses,26
add_shortcode,26
session_get,26
wc_maybe_define_constant,26
get_term_meta,26
wc_get_loop_prop,26
listing_page,26
DxFileToUrl,26
spy,26
mock_function,26
phabricator_form,26
phutil_escape_html_newlines,26
gitsprintf,26
_get_cron_array,25
activate_plugin,25
is_user_admin,25
wp_count_comments,25
is_post_type_viewable,25
wp_http_supports,25
wp_get_comment_status,25
deactivate_plugins,25
delete_site_option,25
get_comment_pages_count,25
add_metadata,25
is_author,25
the_title_attribute,25
wp_styles,25
get_post_format_link,25
database_path,25
load_class,25
wc_timezone_string,25
__internal_woocommerce_blocks_deregister_checkout_field,25
wp_theme_has_theme_json,25
rest_validate_value_from_schema,25
get_current_network_id,25
wp_print_inline_script_tag,25
gp,25
ts,25
yellow,25
do_settings_fields,24
delete_metadata_by_mid,24
get_post_field,24
PclZipUtilTranslateWinPath,24
PclZipUtilPathReduction,24
Chr,24
the_permalink_rss,24
convert_to_screen,24
get_header_textcolor,24
add_rewrite_rule,24
comment_ID,24
wp_validate_boolean,24
ent2ncr,24
yourls_sanitize_keyword,24
oci_field_name,24
wc_kses_notice,24
config_path,24
switch_to_user_locale,24
register_theme_feature,24
dvwaHtmlEcho,24
on_help,24
is_view,24
view_perms_color,24
xwhich,24
obb,24
wsoViewSize,24
xclean,24
str_path,24
msg,24
showstat,24
getUser,24
formfooter,24
sql_query,24
sql_fetch_data,24
wp_delete_comment,23
add_thickbox,23
update_blog_status,23
wp_is_large_network,23
wp_get_nav_menu_items,23
get_gmt_from_date,23
get_temp_dir,23
wp_clean_plugins_cache,23
get_post_type_archive_link,23
get_page_by_path,23
register_post_status,23
is_page_template,23
mysql_get_client_info,23
shortcode_atts,23
update_comment_meta,23
mysql_field_len,23
wc_get_image_size,23
wc_get_weight,23
wc_do_deprecated_action,23
get_block_template,23
wc_get_var,23
_wp_to_kebab_case,23
wp_style_engine_get_styles,23
afterEach,23
precognitive,23
dvwaDatabaseConnect,23
dvwaPageReload,23
limit,23
indexes,23
mysql_create_db,23
HumanReadableFilesize,23
deltree,23
File_Mode,23
makeselect,23
get_writabledir,23
array_delete,23
tagged_iterator,23
phabricator_format_local_time,23
hgsprintf,23
bbb,22
pings_open,22
themes_api,22
get_registered_nav_menus,22
wp_count_posts,22
_get_term_hierarchy,22
wp_update_term,22
wp_add_dashboard_widget,22
get_bloginfo_rss,22
wp_update_user,22
wp_load_alloptions,22
wp_is_writable,22
clean_term_cache,22
doing_action,22
is_day,22
map_meta_cap,22
currentHost,22
input,22
spark,22
yourls_get_yourls_site,22
yourls_deprecated_function,22
write_file,22
wc_attribute_taxonomy_id_by_name,22
wc_get_product_types,22
wc_get_cart_url,22
remove_all_actions,22
is_checkout,22
register_block_style,22
defer,22
set_session,22
print_fieldset,22
ereg_replace,22
exitw,22
entre2v2,22
tagged_locator,22
igroup,22
metadata_exists,21
wp_delete_file,21
comment_text,21
get_custom_header,21
remove_theme_mod,21
update_metadata,21
body_class,21
wp_set_post_terms,21
is_month,21
get_the_tag_list,21
is_multi_author,21
command,21
yourls_site_url,21
wc_print_r,21
wc_maybe_adjust_line_item_product_stock,21
wc_get_notice_data_attr,21
wp_is_auto_update_enabled_for_type,21
